prompt_id,category,prompt,clip_score,brightness,contrast,edge_density,saturation
obj_038,objects,a speaker,0.2868526577949524,132.48,61.38,0.0189,14.59
obj_039,objects,a video game controller,0.2942923307418823,95.43,54.67,0.0319,89.41
obj_040,objects,a USB cable,0.3291800916194916,135.32,33.43,0.013,8.98
obj_041,objects,a sofa,0.2831532955169678,111.54,70.57,0.103,101.74
obj_042,objects,a bookshelf,0.3186968266963959,124.53,64.11,0.0726,71.24
obj_043,objects,a desk,0.28610706329345703,100.43,38.56,0.0329,50.25
obj_044,objects,a bed frame,0.28833848237991333,119.77,72.97,0.0908,41.39
obj_045,objects,a coffee table,0.32053738832473755,125.17,67.33,0.0675,88.78
obj_046,objects,a dining table,0.28121981024742126,106.32,46.43,0.0172,99.01
obj_047,objects,a wardrobe,0.28920891880989075,116.93,69.7,0.0445,80.91
obj_048,objects,a mirror,0.29315435886383057,113.35,76.84,0.0684,55.21
obj_049,objects,a rug,0.31104886531829834,79.71,48.33,0.2753,91.4
obj_050,objects,a curtain,0.2869410514831543,110.21,65.33,0.1019,43.53
obj_051,objects,a bicycle helmet,0.3263791799545288,103.69,76.91,0.1034,113.26
obj_052,objects,a tennis racket,0.30832359194755554,97.8,40.66,0.0649,26.47
obj_053,objects,a skateboard,0.2946685254573822,126.49,70.52,0.0367,86.21
obj_054,objects,a surfboard,0.31122851371765137,111.43,53.0,0.0128,75.57
obj_055,objects,a camping tent,0.3175204396247864,118.02,68.38,0.199,92.17
obj_056,objects,a fishing rod,0.25894784927368164,104.07,49.13,0.088,54.14
obj_057,objects,a garden hose,0.34458011388778687,103.74,65.9,0.209,133.39
obj_058,objects,a wheelbarrow,0.3165334463119507,113.71,63.71,0.2423,137.75
obj_059,objects,a lawn mower,0.2965656816959381,140.69,70.26,0.2156,88.71
obj_060,objects,a bird feeder,0.3162957727909088,114.55,64.87,0.0841,78.31
obj_061,objects,a leather belt,0.29114657640457153,123.58,49.4,0.0253,73.15
obj_062,objects,a necktie,0.2959493398666382,88.46,55.08,0.1766,128.58
obj_063,objects,a scarf,0.2809077501296997,119.74,58.47,0.064,99.56
obj_064,objects,a pair of sunglasses,0.30602699518203735,102.19,52.02,0.163,140.05
obj_065,objects,a handbag,0.2858867645263672,117.66,51.0,0.0514,96.1
obj_066,objects,a wallet,0.29843729734420776,94.36,42.31,0.0366,107.02
obj_067,objects,running shoes,0.2629448175430298,114.89,59.41,0.0865,54.85
obj_068,objects,a winter jacket,0.31726157665252686,88.75,35.13,0.1264,65.86
obj_069,objects,a wool sweater,0.3190329372882843,110.56,78.57,0.135,22.79
obj_070,objects,a pair of jeans,0.2978004217147827,119.13,59.2,0.0666,177.39
obj_071,objects,a hammer,0.2662632465362549,99.28,47.01,0.2063,47.41
obj_072,objects,a screwdriver,0.3137960433959961,105.0,23.43,0.0099,16.18
obj_073,objects,a wrench,0.277030348777771,114.88,50.96,0.1889,30.85
obj_074,objects,a drill,0.27744433283805847,124.02,38.63,0.0221,3.52
obj_075,objects,a saw,0.296913743019104,110.27,52.19,0.0636,66.91
obj_076,objects,a measuring tape,0.294792503118515,110.2,34.94,0.0386,83.45
obj_077,objects,a flashlight,0.30447348952293396,107.62,48.21,0.2598,59.6
obj_078,objects,a ladder,0.2993985712528229,99.2,51.59,0.1832,52.42
obj_079,objects,a toolbox,0.3407785892486572,92.79,55.47,0.1037,70.99
obj_080,objects,a paint brush,0.28375768661499023,120.68,57.56,0.1747,92.11
obj_081,objects,a pinecone,0.3310397267341614,123.3,56.87,0.1069,89.37
obj_082,objects,a seashell,0.31142860651016235,106.79,25.69,0.0373,63.04
obj_083,objects,a flower bouquet,0.29597967863082886,116.69,58.0,0.1272,97.38
obj_084,objects,a cactus,0.3422747850418091,119.31,32.08,0.0627,65.04
obj_085,objects,a bonsai tree,0.3393869996070862,127.66,62.64,0.1795,104.28
obj_086,objects,a sunflower,0.3145829439163208,120.63,37.35,0.0858,91.27
obj_087,objects,a maple leaf,0.33242499828338623,116.27,68.65,0.1654,234.42
obj_088,objects,a bird nest,0.2992662191390991,96.89,56.64,0.1647,101.09
obj_089,objects,a butterfly,0.29214733839035034,126.32,55.21,0.0464,153.72
obj_090,objects,a ladybug,0.31451350450515747,131.13,50.14,0.1651,41.46
obj_091,objects,a loaf of bread,0.30779218673706055,98.47,58.38,0.0264,146.45
obj_092,objects,a birthday cake,0.29116547107696533,124.04,59.56,0.0423,80.62
obj_093,objects,a pizza slice,0.2842787802219391,131.55,72.83,0.0849,88.3
obj_094,objects,a hamburger,0.26396870613098145,127.94,50.09,0.0408,91.85
obj_095,objects,an ice cream cone,0.32030215859413147,91.51,47.53,0.0292,110.85
obj_096,objects,a bowl of fruit,0.32141053676605225,105.18,81.15,0.0629,192.26
obj_097,objects,a cheese wheel,0.2758287191390991,94.97,59.08,0.0555,80.6
obj_098,objects,a chocolate bar,0.2978125810623169,115.99,79.94,0.0587,127.45
obj_099,objects,a cup of coffee,0.27981358766555786,112.89,67.28,0.1875,81.17
obj_100,objects,a glass of orange juice,0.3005618453025818,123.97,43.77,0.0269,44.3
att_001,attributes,a shiny ceramic mug,0.3150002062320709,119.58,45.86,0.021,121.63
att_002,attributes,a rusty metal bicycle,0.33399587869644165,123.36,59.68,0.1346,81.44
att_003,attributes,a fluffy white cat,0.3372020721435547,122.8,63.79,0.0294,33.58
att_004,attributes,a transparent glass vase,0.3413568139076233,124.29,42.11,0.0571,89.29
att_005,attributes,a smooth polished stone,0.18526847660541534,105.57,69.27,0.0688,111.02
att_006,attributes,a rough wooden table,0.21126437187194824,129.31,64.8,0.1834,181.35
att_007,attributes,a soft velvet cushion,0.2050294280052185,107.33,46.48,0.0788,55.45
att_008,attributes,a wrinkled old newspaper,0.15955328941345215,101.2,50.75,0.0279,78.89
att_009,attributes,a glossy red apple,0.17752017080783844,106.16,57.7,0.0376,95.18
att_010,attributes,a matte black smartphone,0.19486618041992188,124.31,38.25,0.0233,53.49
att_011,attributes,a colorful striped umbrella,0.1729443073272705,104.15,68.01,0.1553,148.92
att_012,attributes,a golden metallic watch,0.16721299290657043,124.04,47.68,0.2589,54.19
att_013,attributes,a silver necklace,0.19160674512386322,118.64,35.66,0.291,55.22
att_014,attributes,a blue denim jacket,0.18858657777309418,144.98,70.56,0.0938,43.67
att_015,attributes,a green plaid shirt,0.1796136498451233,119.9,54.67,0.0185,113.58
att_016,attributes,a purple polka dot dress,0.19857296347618103,91.34,29.59,0.0036,109.44
att_017,attributes,a rainbow colored kite,0.17454394698143005,141.9,61.29,0.0487,36.52
att_018,attributes,a black and white chess board,0.15972618758678436,115.19,61.1,0.093,101.83
att_019,attributes,a red checkered tablecloth,0.12584099173545837,107.47,62.24,0.1556,51.04
att_020,attributes,a multicolored mosaic tile,0.16783103346824646,105.64,56.47,0.0341,84.95
att_021,attributes,a dusty antique book,0.2948763966560364,104.14,70.44,0.1059,128.61
att_022,attributes,a brand new sports car,0.28069841861724854,127.79,50.31,0.0494,10.74
att_023,attributes,a worn leather wallet,0.33217498660087585,97.76,43.45,0.1837,116.8
att_024,attributes,a pristine white sneakers,0.3199678063392639,142.53,56.16,0.022,50.59
att_025,attributes,a faded vintage poster,0.27960219979286194,125.99,60.71,0.0561,92.31
att_026,attributes,a cracked ceramic pot,0.292641282081604,130.09,45.5,0.0383,86.34
att_027,attributes,a tarnished brass doorknob,0.33840855956077576,107.28,39.74,0.0488,79.42
att_028,attributes,a freshly painted fence,0.3308183550834656,125.94,67.92,0.2135,76.54
att_029,attributes,a weathered wooden bench,0.3297991156578064,94.25,51.89,0.2558,81.77
att_030,attributes,a sparkling clean window,0.2714919447898865,114.75,70.23,0.225,95.27
att_031,attributes,a tiny porcelain figurine,0.33833733201026917,123.59,31.82,0.0197,13.58
att_032,attributes,a massive oak tree,0.31457602977752686,112.33,73.62,0.1958,99.78
att_033,attributes,a miniature toy car,0.32941579818725586,95.73,59.64,0.3012,127.46
att_034,attributes,a large canvas painting,0.2996761202812195,123.67,48.82,0.0717,69.9
att_035,attributes,a small pocket watch,0.3322911858558655,108.32,63.24,0.0775,70.82
att_036,attributes,a giant teddy bear,0.2916441559791565,112.99,62.92,0.1426,74.71
att_037,attributes,a compact digital camera,0.3063943088054657,99.27,50.1,0.2545,149.09
att_038,attributes,a oversized sunglasses,0.27994948625564575,105.05,71.97,0.0806,72.16
att_039,attributes,a thin paperback book,0.2650134265422821,103.28,71.43,0.0596,91.0
att_040,attributes,a thick wool blanket,0.3050880432128906,129.72,60.45,0.1617,36.42
att_041,attributes,a crystal clear diamond,0.31710004806518555,140.44,45.95,0.0494,18.16
att_042,attributes,a marble white sculpture,0.31181851029396057,140.1,27.38,0.0185,13.99
att_043,attributes,a bronze horse statue,0.3304808735847473,117.13,66.5,0.0591,85.56
att_044,attributes,a ceramic flower pot,0.34538593888282776,108.47,63.38,0.2501,84.62
att_045,attributes,a plastic water bottle,0.34337806701660156,151.8,34.69,0.0819,34.58
att_046,attributes,a wooden rocking chair,0.3226885199546814,87.93,61.12,0.1243,149.09
att_047,attributes,a metal filing cabinet,0.3181222677230835,91.28,63.97,0.064,130.03
att_048,attributes,a glass chandelier,0.33957865834236145,109.84,36.77,0.1424,73.39
att_049,attributes,a rubber duck toy,0.3026120066642761,120.54,35.55,0.0219,58.99
att_050,attributes,a bamboo cutting board,0.343091756105423,130.92,47.48,0.0917,144.91
att_051,attributes,a glowing neon sign,0.32082024216651917,122.14,57.7,0.0882,146.58
att_052,attributes,a dim candlelit room,0.2676219940185547,106.07,41.79,0.0511,95.5
att_053,attributes,a bright sunny beach,0.26750749349594116,128.38,45.94,0.0455,93.73
att_054,attributes,a frozen ice sculpture,0.34330177307128906,144.71,63.85,0.0863,61.19
att_055,attributes,a steaming hot coffee,0.275837779045105,93.35,75.72,0.0614,144.0
att_056,attributes,a cold glass of lemonade,0.28395020961761475,118.0,43.12,0.0654,65.71
att_057,attributes,a warm fireplace,0.2860286235809326,120.8,78.34,0.0521,81.74
att_058,attributes,a cool shaded porch,0.31084656715393066,119.41,49.6,0.1563,38.87
att_059,attributes,a blazing bonfire,0.28905361890792847,84.9,59.55,0.0689,124.39
att_060,attributes,a frosty winter window,0.33361107110977173,141.27,72.76,0.2192,91.62
att_061,attributes,a cheerful yellow sunflower,0.3361034393310547,124.18,45.01,0.0431,163.24
att_062,attributes,a gloomy gray sky,0.28276950120925903,108.57,58.12,0.0384,11.91
att_063,attributes,a peaceful zen garden,0.33890610933303833,105.38,61.26,0.166,138.82
att_064,attributes,an elegant crystal vase,0.331840842962265,108.59,52.78,0.1142,118.12
att_065,attributes,a cozy reading nook,0.3458626866340637,124.27,69.45,0.1338,85.13
att_066,attributes,a dramatic red curtain,0.3189491927623749,108.87,75.0,0.0729,154.78
att_067,attributes,a serene lake reflection,0.29696887731552124,93.37,66.31,0.1169,128.71
att_068,attributes,a vibrant market stall,0.3234720230102539,120.05,67.64,0.2172,154.38
att_069,attributes,a mysterious dark alley,0.32303574681282043,86.92,71.14,0.1273,118.39
att_070,attributes,a romantic candlelit dinner,0.29534053802490234,99.8,71.27,0.0807,127.94
att_071,attributes,a small rusty key,0.32917213439941406,121.72,40.72,0.0253,34.16
att_072,attributes,a large fluffy pillow,0.2739824056625366,138.67,53.54,0.0528,28.0
att_073,attributes,a old wooden music box,0.33719122409820557,102.97,53.01,0.0723,113.57
att_074,attributes,a new shiny bicycle,0.28628820180892944,115.56,58.6,0.1501,60.09
att_075,attributes,a tiny delicate teacup,0.3060760796070099,145.01,33.69,0.0086,60.71
att_076,attributes,a huge ancient tree,0.2951544523239136,110.94,62.08,0.2896,105.27
att_077,attributes,a soft warm blanket,0.23825746774673462,100.83,59.62,0.2184,89.12
att_078,attributes,a hard cold marble floor,0.34175288677215576,129.6,44.67,0.0441,49.93
att_079,attributes,a light airy curtain,0.326801598072052,111.15,57.21,0.072,91.65
att_080,attributes,a heavy ornate chandelier,0.33166050910949707,98.02,66.33,0.1417,100.26
att_081,attributes,a fuzzy green tennis ball,0.33397066593170166,101.35,43.02,0.341,37.17
att_082,attributes,a sleek modern laptop,0.3072865605354309,131.53,67.53,0.0475,39.75
att_083,attributes,a bumpy orange peel,0.29686474800109863,106.56,30.95,0.0088,128.25
att_084,attributes,a silky blue ribbon,0.32744646072387695,124.23,58.76,0.2833,123.24
att_085,attributes,a coarse sand paper,0.32476919889450073,123.66,33.13,0.0062,57.14
att_086,attributes,a smooth river stone,0.3529071807861328,124.75,31.12,0.0691,25.34
att_087,attributes,a prickly cactus plant,0.3147549629211426,97.64,59.35,0.1684,86.53
att_088,attributes,a feathery peacock tail,0.32840293645858765,110.82,54.92,0.2719,89.61
att_089,attributes,a scaly fish skin,0.3081221580505371,105.21,47.88,0.274,17.56
att_090,attributes,a spongy yellow cheese,0.2869507074356079,97.37,60.13,0.0166,110.15
rel_001,relations,a cat sitting on a sofa,0.2744998335838318,106.85,50.36,0.0255,93.12
rel_002,relations,a book on a wooden table,0.27838778495788574,90.43,55.54,0.0695,74.46
rel_003,relations,a lamp next to a bed,0.3095501661300659,123.66,51.97,0.0307,44.64
rel_004,relations,a cup on a saucer,0.31109583377838135,123.0,60.6,0.0771,49.88
rel_005,relations,a bird perched on a branch,0.30348578095436096,112.97,50.12,0.0522,60.64
rel_006,relations,a clock hanging on a wall,0.3503990173339844,106.41,60.71,0.1107,67.24
rel_007,relations,a dog lying under a tree,0.29962801933288574,117.0,63.54,0.164,118.97
rel_008,relations,a vase in front of a window,0.3295864760875702,128.95,58.59,0.0285,61.59
rel_009,relations,a phone beside a laptop,0.24776151776313782,109.06,53.1,0.056,152.59
rel_010,relations,a hat on a person's head,0.27952760457992554,119.69,51.61,0.1031,78.61
rel_011,relations,a painting above a fireplace,0.3556888997554779,120.12,66.41,0.0691,97.73
rel_012,relations,a rug under a coffee table,0.1714189350605011,103.81,57.12,0.0866,97.75
rel_013,relations,a chandelier above a dining table,0.1851631999015808,136.2,37.84,0.0718,56.76
rel_014,relations,a shelf above a desk,0.16524970531463623,104.32,37.43,0.1665,29.43
rel_015,relations,a cat under a chair,0.1303233653306961,144.23,58.94,0.1088,41.41
rel_016,relations,a plane above the clouds,0.10683845728635788,124.42,53.67,0.0626,49.03
rel_017,relations,a submarine below the water,0.13931423425674438,118.43,64.57,0.0437,38.47
rel_018,relations,a bird above a lake,0.14432169497013092,127.06,60.21,0.1387,66.15
rel_019,relations,a treasure under the sand,0.17906248569488525,131.07,55.98,0.0291,83.2
rel_020,relations,a rainbow above a mountain,0.09714268893003464,98.03,67.95,0.0841,94.93
rel_021,relations,a ball inside a basket,0.315902441740036,75.65,56.66,0.1373,106.47
rel_022,relations,a flower in a vase,0.3050212264060974,105.93,39.34,0.0529,74.32
rel_023,relations,a key on a keychain,0.32660967111587524,83.66,53.7,0.0934,53.4
rel_024,relations,a fish inside a bowl,0.29833149909973145,144.78,47.62,0.1282,77.48
rel_025,relations,a bird inside a cage,0.30389517545700073,113.78,68.73,0.1054,44.95
rel_026,relations,a car inside a garage,0.2887888252735138,133.68,84.2,0.117,72.91
rel_027,relations,a person inside a phone booth,0.3158302307128906,109.03,81.62,0.1973,134.7
rel_028,relations,a letter inside an envelope,0.30467653274536133,125.55,66.83,0.0101,72.51
rel_029,relations,a coin inside a jar,0.30591633915901184,112.86,67.91,0.1055,80.24
rel_030,relations,a plant inside a terrarium,0.3136114180088043,114.64,67.33,0.1613,106.06
rel_031,relations,a pen on a notebook,0.2944513261318207,95.99,64.74,0.22,100.35
rel_032,relations,a pillow on a chair,0.2830135226249695,123.11,57.5,0.0278,39.29
rel_033,relations,a shoe under a bed,0.30503833293914795,150.74,63.26,0.0663,39.85
rel_034,relations,a bag next to a door,0.3131960928440094,122.23,50.19,0.0367,28.85
rel_035,relations,a glass on a coaster,0.2713150382041931,105.16,51.29,0.1695,56.92
rel_036,relations,a watch on a wrist,0.269546777009964,125.46,63.91,0.0484,53.41
rel_037,relations,a book between two bookends,0.28597378730773926,132.43,86.21,0.0708,98.35
rel_038,relations,a child between two parents,0.26710671186447144,128.12,50.2,0.084,97.04
rel_039,relations,a house between two trees,0.2958466410636902,91.66,59.53,0.2778,113.82
rel_040,relations,a river between two mountains,0.30201226472854614,105.58,62.38,0.1379,56.12
rel_041,relations,a person in front of a building,0.28386926651000977,127.86,65.11,0.1221,22.27
rel_042,relations,a car behind a truck,0.23872199654579163,109.15,66.39,0.1888,99.03
rel_043,relations,a dog in front of a house,0.32427120208740234,125.49,69.28,0.1804,85.76
rel_044,relations,a tree behind a fence,0.25423118472099304,112.59,42.8,0.2683,62.88
rel_045,relations,a statue in front of a museum,0.29040372371673584,127.1,78.38,0.1348,103.1
rel_046,relations,a boat behind an island,0.28597190976142883,155.81,45.98,0.0612,59.15
rel_047,relations,a moon behind clouds,0.31014180183410645,127.61,32.61,0.0066,66.64
rel_048,relations,a sun behind mountains,0.27638524770736694,96.94,48.34,0.0177,138.72
rel_049,relations,a person behind a counter,0.25943946838378906,112.33,74.14,0.0956,74.97
rel_050,relations,a cat behind a curtain,0.2724218964576721,120.6,49.37,0.0521,52.86
rel_051,relations,a laptop on a desk near a window,0.2910082936286926,118.38,85.74,0.0537,93.51
rel_052,relations,a cat sleeping on a pillow on a bed,0.29535168409347534,123.99,60.72,0.0499,49.33
rel_053,relations,flowers in a vase on a table by the window,0.32484278082847595,125.94,58.25,0.0459,71.63
rel_054,relations,books stacked on a shelf above a fireplace,0.3103873133659363,110.84,73.12,0.1009,112.1
rel_055,relations,a dog sitting next to a person on a bench,0.30236464738845825,117.33,71.26,0.16,104.89
rel_056,relations,a bird flying over a lake near mountains,0.32331135869026184,140.26,59.6,0.1747,77.0
rel_057,relations,a car parked in front of a house with a garden,0.3117460012435913,126.47,69.58,0.1781,124.21
rel_058,relations,a child playing under a tree in a park,0.3404124975204468,114.6,80.62,0.2258,94.14
rel_059,relations,a coffee cup on a saucer on a wooden table,0.3002428114414215,115.53,47.71,0.0978,124.51
rel_060,relations,a painting hanging above a sofa in a living room,0.32914191484451294,133.66,64.37,0.061,33.21
rel_061,relations,a bridge over a river,0.2905437648296356,108.02,55.84,0.2324,106.84
rel_062,relations,a tunnel through a mountain,0.27590519189834595,87.14,66.31,0.1192,107.25
rel_063,relations,a path along a beach,0.30112260580062866,90.12,64.71,0.2508,114.12
rel_064,relations,a fence around a garden,0.3029824495315552,112.98,55.23,0.2901,115.82
rel_065,relations,a frame around a picture,0.2746613323688507,124.47,73.8,0.197,20.26
rel_066,relations,a border around a page,0.2646186351776123,135.07,60.25,0.1662,47.12
rel_067,relations,a ring around a finger,0.31029337644577026,132.33,41.61,0.0108,85.38
rel_068,relations,a scarf around a neck,0.2943868637084961,133.99,76.0,0.1459,47.78
rel_069,relations,a belt around a waist,0.30298912525177,117.49,42.5,0.0226,36.95
rel_070,relations,a leash around a dog,0.3152744174003601,104.3,63.72,0.1452,118.76
rel_071,relations,a person walking towards a door,0.3051295280456543,87.48,67.3,0.1161,162.67
rel_072,relations,a car driving away from a city,0.26378121972084045,114.93,66.9,0.1658,70.92
rel_073,relations,a bird flying into a tree,0.31324467062950134,110.78,68.6,0.3083,108.38
rel_074,relations,a ball rolling down a hill,0.3325044810771942,99.6,54.38,0.3138,146.47
rel_075,relations,a leaf falling from a branch,0.3260084390640259,100.79,71.96,0.1147,159.8
rel_076,relations,smoke rising from a chimney,0.3343278765678406,108.2,36.95,0.1718,60.96
rel_077,relations,water flowing over rocks,0.298444539308548,95.33,71.84,0.1561,105.91
rel_078,relations,light shining through a window,0.2917773723602295,101.6,72.93,0.2138,42.17
rel_079,relations,shadows cast across a floor,0.2835843861103058,110.56,32.55,0.0305,36.68
rel_080,relations,reflections in a puddle,0.30318933725357056,134.15,48.98,0.17,121.08
rel_081,relations,a family gathered around a dinner table,0.27915075421333313,94.84,71.57,0.1276,122.73
rel_082,relations,students sitting in rows in a classroom,0.31392496824264526,114.74,68.45,0.1178,70.89
rel_083,relations,boats floating on a calm harbor,0.30792519450187683,127.13,65.65,0.1584,89.55
rel_084,relations,mountains reflected in a still lake,0.3227216303348541,101.56,59.02,0.2038,108.69
rel_085,relations,stars scattered across the night sky,0.273013174533844,91.0,51.17,0.0782,152.1
rel_086,relations,leaves covering a forest floor,0.31264999508857727,79.73,53.6,0.3071,123.14
rel_087,relations,clouds drifting across a blue sky,0.2879907488822937,124.13,32.54,0.0081,72.73
rel_088,relations,waves crashing against rocky shores,0.28201228380203247,137.65,60.65,0.1241,60.72
rel_089,relations,birds perched along a telephone wire,0.3424740433692932,130.24,75.19,0.1227,25.93
rel_090,relations,flowers blooming along a garden path,0.31472402811050415,114.54,49.02,0.2981,171.03
cou_001,counting,one red apple on a plate,0.23430997133255005,144.48,60.27,0.0607,79.24
cou_002,counting,two cats sitting together,0.16270199418067932,111.72,30.68,0.0278,107.92
cou_003,counting,three flowers in a vase,0.1823289394378662,122.15,43.11,0.0405,212.03
cou_004,counting,one tall tree in a field,0.16535764932632446,122.07,73.1,0.1087,109.97
cou_005,counting,two birds on a branch,0.17602406442165375,118.18,47.85,0.1262,122.05
cou_006,counting,three candles on a cake,0.20271006226539612,115.32,51.93,0.0667,85.29
cou_007,counting,one boat on a lake,0.12144681811332703,99.33,30.32,0.0246,75.33
cou_008,counting,two shoes on the floor,0.19320131838321686,129.15,50.13,0.0758,13.16
cou_009,counting,three books on a shelf,0.2216917723417282,103.55,49.55,0.0059,85.7
cou_010,counting,one sun in the sky,0.14860312640666962,97.77,43.5,0.0222,57.8
cou_011,counting,four books stacked together,0.20078611373901367,89.68,57.24,0.178,58.94
cou_012,counting,five colorful balloons,0.17515966296195984,111.74,60.24,0.0273,86.51
cou_013,counting,six pencils in a cup,0.18420861661434174,92.05,46.5,0.2704,84.36
cou_014,counting,four chairs around a table,0.1780587136745453,141.47,49.65,0.0956,117.68
cou_015,counting,five fingers on a hand,0.1877090036869049,108.02,79.67,0.0731,95.68
cou_016,counting,six eggs in a carton,0.17733871936798096,131.94,51.33,0.0946,77.85
cou_017,counting,four wheels on a car,0.21098271012306213,107.54,61.39,0.177,29.57
cou_018,counting,five petals on a flower,0.22460439801216125,136.43,54.17,0.0557,92.15
cou_019,counting,six strings on a guitar,0.16945050656795502,124.32,63.07,0.1279,106.04
cou_020,counting,four legs on a dog,0.25078871846199036,108.29,60.14,0.2372,101.59
cou_021,counting,seven stars in the sky,0.28591427206993103,107.79,46.04,0.0489,80.7
cou_022,counting,eight tentacles on an octopus,0.2671126425266266,118.56,58.83,0.0998,106.88
cou_023,counting,nine planets in space,0.33423474431037903,118.02,90.08,0.0832,128.01
cou_024,counting,ten fingers on two hands,0.25838136672973633,107.59,37.86,0.0175,56.91
cou_025,counting,seven colors in a rainbow,0.27536842226982117,113.65,79.63,0.0373,187.2
cou_026,counting,eight slices of pizza,0.262743204832077,120.92,74.1,0.1209,100.42
cou_027,counting,nine squares in a grid,0.29656511545181274,109.54,65.49,0.0399,6.45
cou_028,counting,ten bowling pins,0.2914355397224426,109.47,61.8,0.0572,151.06
cou_029,counting,seven days on a calendar,0.2844979465007782,131.69,98.48,0.1357,59.58
cou_030,counting,eight windows on a building,0.3129422664642334,111.2,59.65,0.2354,126.19
cou_031,counting,a pair of glasses,0.2879152297973633,96.61,37.0,0.0345,128.82
cou_032,counting,a pair of socks,0.31118184328079224,96.22,54.63,0.0409,180.82
cou_033,counting,a set of keys,0.32093268632888794,103.6,70.72,0.0475,71.33
cou_034,counting,a deck of cards,0.2907773554325104,120.75,105.7,0.1219,30.03
cou_035,counting,a bunch of grapes,0.29204288125038147,128.53,64.05,0.069,153.08
cou_036,counting,a flock of birds,0.30706191062927246,116.92,91.58,0.1781,73.46
cou_037,counting,a herd of sheep,0.3034120500087738,102.35,66.22,0.1505,61.92
cou_038,counting,a school of fish,0.31496182084083557,104.03,86.22,0.1531,161.15
cou_039,counting,a swarm of bees,0.29518523812294006,107.62,57.59,0.3308,125.12
cou_040,counting,a pack of wolves,0.322451651096344,118.11,64.17,0.1649,85.5
cou_041,counting,three oranges on a plate,0.3454703986644745,135.96,42.83,0.0268,133.48
cou_042,counting,two red apples and one green apple,0.28825080394744873,104.56,58.33,0.0634,140.85
cou_043,counting,five birds on a wire,0.3254029154777527,123.1,20.61,0.0153,20.35
cou_044,counting,four cookies on a plate,0.2916347086429596,115.04,73.31,0.0656,128.75
cou_045,counting,six fish in a bowl,0.3224779963493347,111.28,53.18,0.1509,152.63
cou_046,counting,three trees in a row,0.30646997690200806,117.0,65.19,0.2495,144.32
cou_047,counting,two bicycles parked together,0.2933914065361023,119.56,64.79,0.198,86.33
cou_048,counting,four butterflies flying,0.318543940782547,130.3,39.74,0.0704,122.29
cou_049,counting,three puppies playing,0.3377513587474823,124.46,52.91,0.161,97.48
