prompt_id,category,prompt,brightness,contrast,edge_density,saturation,mean_red,mean_green,mean_blue,width,height
obj_062,objects,a necktie,88.46,55.08,0.1766,128.58,107.89,83.01,65.53,512,512
obj_063,objects,a scarf,119.74,58.47,0.064,99.56,131.62,115.59,109.96,512,512
obj_064,objects,a pair of sunglasses,102.19,52.02,0.163,140.05,112.79,99.91,86.12,512,512
obj_065,objects,a handbag,117.66,51.0,0.0514,96.1,105.68,123.0,121.57,512,512
obj_066,objects,a wallet,94.36,42.31,0.0366,107.02,121.74,86.2,64.59,512,512
obj_067,objects,running shoes,114.89,59.41,0.0865,54.85,120.64,113.16,108.65,512,512
obj_068,objects,a winter jacket,88.75,35.13,0.1264,65.86,91.79,86.55,92.11,512,512
obj_069,objects,a wool sweater,110.56,78.57,0.135,22.79,112.43,110.24,107.17,512,512
obj_070,objects,a pair of jeans,119.13,59.2,0.0666,177.39,138.48,115.04,89.42,512,512
obj_071,objects,a hammer,99.28,47.01,0.2063,47.41,108.15,96.28,91.41,512,512
obj_072,objects,a screwdriver,105.0,23.43,0.0099,16.18,108.94,104.02,99.83,512,512
obj_073,objects,a wrench,114.88,50.96,0.1889,30.85,111.27,115.02,123.62,512,512
obj_074,objects,a drill,124.02,38.63,0.0221,3.52,124.57,123.74,124.43,512,512
obj_075,objects,a saw,110.27,52.19,0.0636,66.91,124.58,105.2,98.91,512,512
obj_076,objects,a measuring tape,110.2,34.94,0.0386,83.45,128.27,103.69,96.41,512,512
obj_077,objects,a flashlight,107.62,48.21,0.2598,59.6,115.18,107.92,86.24,512,512
obj_078,objects,a ladder,99.2,51.59,0.1832,52.42,104.74,97.88,91.44,512,512
obj_079,objects,a toolbox,92.79,55.47,0.1037,70.99,117.07,83.06,79.28,512,512
obj_080,objects,a paint brush,120.68,57.56,0.1747,92.11,120.39,122.19,113.66,512,512
obj_081,objects,a pinecone,123.3,56.87,0.1069,89.37,141.74,119.62,93.9,512,512
obj_082,objects,a seashell,106.79,25.69,0.0373,63.04,120.37,102.99,90.81,512,512
obj_083,objects,a flower bouquet,116.69,58.0,0.1272,97.38,127.62,115.98,91.66,512,512
obj_084,objects,a cactus,119.31,32.08,0.0627,65.04,129.48,116.99,104.61,512,512
obj_085,objects,a bonsai tree,127.66,62.64,0.1795,104.28,122.84,133.43,110.63,512,512
obj_086,objects,a sunflower,120.63,37.35,0.0858,91.27,134.56,119.4,90.45,512,512
obj_087,objects,a maple leaf,116.27,68.65,0.1654,234.42,137.12,121.11,36.71,512,512
obj_088,objects,a bird nest,96.89,56.64,0.1647,101.09,105.4,97.28,72.52,512,512
obj_089,objects,a butterfly,126.32,55.21,0.0464,153.72,117.36,132.39,118.63,512,512
obj_090,objects,a ladybug,131.13,50.14,0.1651,41.46,142.69,126.8,123.11,512,512
obj_091,objects,a loaf of bread,98.47,58.38,0.0264,146.45,125.73,90.98,65.56,512,512
obj_092,objects,a birthday cake,124.04,59.56,0.0423,80.62,134.27,116.87,134.08,512,512
obj_093,objects,a pizza slice,131.55,72.83,0.0849,88.3,154.65,123.5,112.36,512,512
obj_094,objects,a hamburger,127.94,50.09,0.0408,91.85,148.15,120.69,112.24,512,512
obj_095,objects,an ice cream cone,91.51,47.53,0.0292,110.85,119.95,77.13,90.81,512,512
obj_096,objects,a bowl of fruit,105.18,81.15,0.0629,192.26,138.76,97.46,56.83,512,512
obj_097,objects,a cheese wheel,94.97,59.08,0.0555,80.6,109.44,92.26,70.97,512,512
obj_098,objects,a chocolate bar,115.99,79.94,0.0587,127.45,142.95,105.78,97.86,512,512
obj_099,objects,a cup of coffee,112.89,67.28,0.1875,81.17,126.36,108.49,100.2,512,512
obj_100,objects,a glass of orange juice,123.97,43.77,0.0269,44.3,130.18,124.27,106.08,512,512
att_001,attributes,a shiny ceramic mug,119.58,45.86,0.021,121.63,130.22,118.49,97.33,512,512
att_002,attributes,a rusty metal bicycle,123.36,59.68,0.1346,81.44,123.39,122.77,126.35,512,512
att_003,attributes,a fluffy white cat,122.8,63.79,0.0294,33.58,125.11,122.48,118.4,512,512
att_004,attributes,a transparent glass vase,124.29,42.11,0.0571,89.29,137.73,123.44,93.39,512,512
att_005,attributes,a smooth polished stone,105.57,69.27,0.0688,111.02,124.62,102.15,73.21,512,512
att_006,attributes,a rough wooden table,129.31,64.8,0.1834,181.35,135.42,127.97,120.15,512,512
att_007,attributes,a soft velvet cushion,107.33,46.48,0.0788,55.45,113.9,104.26,105.92,512,512
att_008,attributes,a wrinkled old newspaper,101.2,50.75,0.0279,78.89,119.39,94.5,88.09,512,512
att_009,attributes,a glossy red apple,106.16,57.7,0.0376,95.18,119.12,102.21,92.54,512,512
att_010,attributes,a matte black smartphone,124.31,38.25,0.0233,53.49,126.76,123.68,121.08,512,512
att_011,attributes,a colorful striped umbrella,104.15,68.01,0.1553,148.92,116.78,103.94,72.15,512,512
att_012,attributes,a golden metallic watch,124.04,47.68,0.2589,54.19,132.13,122.84,109.0,512,512
att_013,attributes,a silver necklace,118.64,35.66,0.291,55.22,129.26,116.45,102.04,512,512
att_014,attributes,a blue denim jacket,144.98,70.56,0.0938,43.67,151.76,144.11,131.7,512,512
att_015,attributes,a green plaid shirt,119.9,54.67,0.0185,113.58,154.88,105.06,104.52,512,512
att_016,attributes,a purple polka dot dress,91.34,29.59,0.0036,109.44,109.29,87.53,63.81,512,512
att_017,attributes,a rainbow colored kite,141.9,61.29,0.0487,36.52,138.64,142.46,148.27,512,512
att_018,attributes,a black and white chess board,115.19,61.1,0.093,101.83,106.75,116.21,132.05,512,512
att_019,attributes,a red checkered tablecloth,107.47,62.24,0.1556,51.04,114.02,105.88,98.47,512,512
att_020,attributes,a multicolored mosaic tile,105.64,56.47,0.0341,84.95,114.76,103.64,92.09,512,512
att_021,attributes,a dusty antique book,104.14,70.44,0.1059,128.61,123.78,99.85,74.67,512,512
att_022,attributes,a brand new sports car,127.79,50.31,0.0494,10.74,128.62,127.4,127.7,512,512
att_023,attributes,a worn leather wallet,97.76,43.45,0.1837,116.8,122.4,90.37,71.24,512,512
att_024,attributes,a pristine white sneakers,142.53,56.16,0.022,50.59,147.85,140.76,137.76,512,512
att_025,attributes,a faded vintage poster,125.99,60.71,0.0561,92.31,140.3,123.89,99.27,512,512
att_026,attributes,a cracked ceramic pot,130.09,45.5,0.0383,86.34,143.26,127.48,109.04,512,512
att_027,attributes,a tarnished brass doorknob,107.28,39.74,0.0488,79.42,110.11,108.25,94.94,512,512
att_028,attributes,a freshly painted fence,125.94,67.92,0.2135,76.54,133.3,124.67,113.16,512,512
att_029,attributes,a weathered wooden bench,94.25,51.89,0.2558,81.77,106.44,91.5,76.46,512,512
att_030,attributes,a sparkling clean window,114.75,70.23,0.225,95.27,100.12,126.68,91.76,512,512
att_031,attributes,a tiny porcelain figurine,123.59,31.82,0.0197,13.58,126.28,123.2,118.72,512,512
att_032,attributes,a massive oak tree,112.33,73.62,0.1958,99.78,111.59,115.38,98.53,512,512
att_033,attributes,a miniature toy car,95.73,59.64,0.3012,127.46,105.94,92.66,84.75,512,512
att_034,attributes,a large canvas painting,123.67,48.82,0.0717,69.9,135.98,118.01,120.55,512,512
att_035,attributes,a small pocket watch,108.32,63.24,0.0775,70.82,118.15,106.78,90.45,512,512
att_036,attributes,a giant teddy bear,112.99,62.92,0.1426,74.71,124.37,110.75,94.63,512,512
att_037,attributes,a compact digital camera,99.27,50.1,0.2545,149.09,109.16,102.74,55.49,512,512
att_038,attributes,a oversized sunglasses,105.05,71.97,0.0806,72.16,122.4,98.8,91.75,512,512
att_039,attributes,a thin paperback book,103.28,71.43,0.0596,91.0,106.61,104.71,87.17,512,512
att_040,attributes,a thick wool blanket,129.72,60.45,0.1617,36.42,136.13,127.56,124.14,512,512
att_041,attributes,a crystal clear diamond,140.44,45.95,0.0494,18.16,137.66,141.29,143.32,512,512
att_042,attributes,a marble white sculpture,140.1,27.38,0.0185,13.99,142.37,139.75,135.69,512,512
att_043,attributes,a bronze horse statue,117.13,66.5,0.0591,85.56,127.29,114.52,103.8,512,512
att_044,attributes,a ceramic flower pot,108.47,63.38,0.2501,84.62,114.68,108.36,92.76,512,512
att_045,attributes,a plastic water bottle,151.8,34.69,0.0819,34.58,149.04,153.71,149.24,512,512
att_046,attributes,a wooden rocking chair,87.93,61.12,0.1243,149.09,89.94,92.59,58.67,512,512
att_047,attributes,a metal filing cabinet,91.28,63.97,0.064,130.03,119.94,80.02,74.08,512,512
att_048,attributes,a glass chandelier,109.84,36.77,0.1424,73.39,120.83,108.91,85.84,512,512
att_049,attributes,a rubber duck toy,120.54,35.55,0.0219,58.99,120.39,122.3,111.82,512,512
att_050,attributes,a bamboo cutting board,130.92,47.48,0.0917,144.91,159.59,123.62,93.35,512,512
att_051,attributes,a glowing neon sign,122.14,57.7,0.0882,146.58,130.76,117.75,122.18,512,512
att_052,attributes,a dim candlelit room,106.07,41.79,0.0511,95.5,122.05,102.37,83.17,512,512
att_053,attributes,a bright sunny beach,128.38,45.94,0.0455,93.73,115.55,134.55,130.2,512,512
att_054,attributes,a frozen ice sculpture,144.71,63.85,0.0863,61.19,129.12,148.72,165.02,512,512
att_055,attributes,a steaming hot coffee,93.35,75.72,0.0614,144.0,116.85,86.53,66.86,512,512
att_056,attributes,a cold glass of lemonade,118.0,43.12,0.0654,65.71,118.13,118.85,113.33,512,512
att_057,attributes,a warm fireplace,120.8,78.34,0.0521,81.74,138.26,115.51,102.23,512,512
att_058,attributes,a cool shaded porch,119.41,49.6,0.1563,38.87,119.44,120.38,114.32,512,512
att_059,attributes,a blazing bonfire,84.9,59.55,0.0689,124.39,113.36,75.24,60.0,512,512
att_060,attributes,a frosty winter window,141.27,72.76,0.2192,91.62,131.91,144.88,147.22,512,512
att_061,attributes,a cheerful yellow sunflower,124.18,45.01,0.0431,163.24,118.13,129.08,114.91,512,512
att_062,attributes,a gloomy gray sky,108.57,58.12,0.0384,11.91,109.29,108.18,108.77,512,512
att_063,attributes,a peaceful zen garden,105.38,61.26,0.166,138.82,103.92,113.82,65.74,512,512
att_064,attributes,an elegant crystal vase,108.59,52.78,0.1142,118.12,137.48,97.21,91.4,512,512
att_065,attributes,a cozy reading nook,124.27,69.45,0.1338,85.13,134.94,121.45,110.82,512,512
att_066,attributes,a dramatic red curtain,108.87,75.0,0.0729,154.78,149.1,93.43,82.81,512,512
att_067,attributes,a serene lake reflection,93.37,66.31,0.1169,128.71,93.24,93.25,94.32,512,512
att_068,attributes,a vibrant market stall,120.05,67.64,0.2172,154.38,145.89,111.77,94.92,512,512
att_069,attributes,a mysterious dark alley,86.92,71.14,0.1273,118.39,100.7,78.73,92.94,512,512
att_070,attributes,a romantic candlelit dinner,99.8,71.27,0.0807,127.94,121.85,93.91,72.13,512,512
att_071,attributes,a small rusty key,121.72,40.72,0.0253,34.16,126.15,120.49,116.37,512,512
att_072,attributes,a large fluffy pillow,138.67,53.54,0.0528,28.0,142.0,137.4,136.48,512,512
att_073,attributes,a old wooden music box,102.97,53.01,0.0723,113.57,128.11,95.37,76.22,512,512
att_074,attributes,a new shiny bicycle,115.56,58.6,0.1501,60.09,124.28,111.66,112.72,512,512
att_075,attributes,a tiny delicate teacup,145.01,33.69,0.0086,60.71,135.26,150.58,141.89,512,512
att_076,attributes,a huge ancient tree,110.94,62.08,0.2896,105.27,119.6,112.67,79.33,512,512
att_077,attributes,a soft warm blanket,100.83,59.62,0.2184,89.12,119.62,94.72,82.97,512,512
att_078,attributes,a hard cold marble floor,129.6,44.67,0.0441,49.93,136.22,128.79,116.42,512,512
att_079,attributes,a light airy curtain,111.15,57.21,0.072,91.65,106.28,114.26,107.9,512,512
att_080,attributes,a heavy ornate chandelier,98.02,66.33,0.1417,100.26,116.61,93.66,71.73,512,512
att_081,attributes,a fuzzy green tennis ball,101.35,43.02,0.341,37.17,104.06,102.37,88.94,512,512
att_082,attributes,a sleek modern laptop,131.53,67.53,0.0475,39.75,127.66,133.82,129.9,512,512
att_083,attributes,a bumpy orange peel,106.56,30.95,0.0088,128.25,142.37,95.88,67.59,512,512
att_084,attributes,a silky blue ribbon,124.23,58.76,0.2833,123.24,133.63,118.96,126.69,512,512
att_085,attributes,a coarse sand paper,123.66,33.13,0.0062,57.14,134.39,121.36,107.44,512,512
att_086,attributes,a smooth river stone,124.75,31.12,0.0691,25.34,125.62,124.63,123.16,512,512
att_087,attributes,a prickly cactus plant,97.64,59.35,0.1684,86.53,91.35,104.14,80.61,512,512
att_088,attributes,a feathery peacock tail,110.82,54.92,0.2719,89.61,114.3,110.59,102.88,512,512
att_089,attributes,a scaly fish skin,105.21,47.88,0.274,17.56,106.75,105.02,102.16,512,512
att_090,attributes,a spongy yellow cheese,97.37,60.13,0.0166,110.15,116.64,96.27,52.47,512,512
rel_001,relations,a cat sitting on a sofa,106.85,50.36,0.0255,93.12,121.75,103.55,84.73,512,512
rel_002,relations,a book on a wooden table,90.43,55.54,0.0695,74.46,101.36,87.77,75.48,512,512
rel_003,relations,a lamp next to a bed,123.66,51.97,0.0307,44.64,127.45,122.71,118.54,512,512
rel_004,relations,a cup on a saucer,123.0,60.6,0.0771,49.88,117.16,124.77,129.26,512,512
rel_005,relations,a bird perched on a branch,112.97,50.12,0.0522,60.64,114.31,115.44,96.68,512,512
rel_006,relations,a clock hanging on a wall,106.41,60.71,0.1107,67.24,114.49,103.29,101.3,512,512
rel_007,relations,a dog lying under a tree,117.0,63.54,0.164,118.97,120.77,121.5,83.89,512,512
rel_008,relations,a vase in front of a window,128.95,58.59,0.0285,61.59,125.01,130.52,131.18,512,512
rel_009,relations,a phone beside a laptop,109.06,53.1,0.056,152.59,136.99,99.74,83.69,512,512
rel_010,relations,a hat on a person's head,119.69,51.61,0.1031,78.61,140.11,111.37,108.96,512,512
rel_011,relations,a painting above a fireplace,120.12,66.41,0.0691,97.73,132.95,117.2,101.52,512,512
rel_012,relations,a rug under a coffee table,103.81,57.12,0.0866,97.75,111.94,101.28,95.46,512,512
rel_013,relations,a chandelier above a dining table,136.2,37.84,0.0718,56.76,144.29,134.2,125.24,512,512
rel_014,relations,a shelf above a desk,104.32,37.43,0.1665,29.43,109.25,103.2,97.17,512,512
rel_015,relations,a cat under a chair,144.23,58.94,0.1088,41.41,141.81,144.16,151.07,512,512
rel_016,relations,a plane above the clouds,124.42,53.67,0.0626,49.03,130.13,123.42,114.61,512,512
rel_017,relations,a submarine below the water,118.43,64.57,0.0437,38.47,126.63,114.84,115.4,512,512
rel_018,relations,a bird above a lake,127.06,60.21,0.1387,66.15,140.97,122.61,113.47,512,512
rel_019,relations,a treasure under the sand,131.07,55.98,0.0291,83.2,143.31,128.05,114.6,512,512
rel_020,relations,a rainbow above a mountain,98.03,67.95,0.0841,94.93,113.26,93.08,83.57,512,512
rel_021,relations,a ball inside a basket,75.65,56.66,0.1373,106.47,91.74,70.15,61.69,512,512
rel_022,relations,a flower in a vase,105.93,39.34,0.0529,74.32,120.96,101.79,87.75,512,512
rel_023,relations,a key on a keychain,83.66,53.7,0.0934,53.4,81.32,83.66,89.77,512,512
rel_024,relations,a fish inside a bowl,144.78,47.62,0.1282,77.48,134.15,145.85,167.18,512,512
rel_025,relations,a bird inside a cage,113.78,68.73,0.1054,44.95,113.27,114.85,109.65,512,512
rel_026,relations,a car inside a garage,133.68,84.2,0.117,72.91,143.97,128.91,131.01,512,512
rel_027,relations,a person inside a phone booth,109.03,81.62,0.1973,134.7,98.6,114.14,110.15,512,512
rel_028,relations,a letter inside an envelope,125.55,66.83,0.0101,72.51,130.48,122.73,126.99,512,512
rel_029,relations,a coin inside a jar,112.86,67.91,0.1055,80.24,122.47,110.41,100.32,512,512
rel_030,relations,a plant inside a terrarium,114.64,67.33,0.1613,106.06,117.03,117.31,94.59,512,512
rel_031,relations,a pen on a notebook,95.99,64.74,0.22,100.35,113.52,90.11,80.32,512,512
rel_032,relations,a pillow on a chair,123.11,57.5,0.0278,39.29,124.8,123.3,117.68,512,512
rel_033,relations,a shoe under a bed,150.74,63.26,0.0663,39.85,154.64,148.62,151.47,512,512
rel_034,relations,a bag next to a door,122.23,50.19,0.0367,28.85,127.73,121.07,113.85,512,512
rel_035,relations,a glass on a coaster,105.16,51.29,0.1695,56.92,102.05,106.63,105.79,512,512
rel_036,relations,a watch on a wrist,125.46,63.91,0.0484,53.41,136.94,122.16,112.43,512,512
rel_037,relations,a book between two bookends,132.43,86.21,0.0708,98.35,145.88,127.09,124.58,512,512
rel_038,relations,a child between two parents,128.12,50.2,0.084,97.04,139.43,122.73,126.2,512,512
rel_039,relations,a house between two trees,91.66,59.53,0.2778,113.82,89.2,99.3,58.71,512,512
rel_040,relations,a river between two mountains,105.58,62.38,0.1379,56.12,102.07,106.79,108.55,512,512
rel_041,relations,a person in front of a building,127.86,65.11,0.1221,22.27,131.59,127.05,122.25,512,512
rel_042,relations,a car behind a truck,109.15,66.39,0.1888,99.03,114.85,108.59,97.06,512,512
rel_043,relations,a dog in front of a house,125.49,69.28,0.1804,85.76,126.11,126.48,118.81,512,512
rel_044,relations,a tree behind a fence,112.59,42.8,0.2683,62.88,104.98,120.87,89.87,512,512
rel_045,relations,a statue in front of a museum,127.1,78.38,0.1348,103.1,122.06,129.49,128.03,512,512
rel_046,relations,a boat behind an island,155.81,45.98,0.0612,59.15,148.15,157.87,165.34,512,512
rel_047,relations,a moon behind clouds,127.61,32.61,0.0066,66.64,113.66,131.94,141.92,512,512
rel_048,relations,a sun behind mountains,96.94,48.34,0.0177,138.72,113.75,94.33,66.27,512,512
rel_049,relations,a person behind a counter,112.33,74.14,0.0956,74.97,123.14,110.05,95.68,512,512
rel_050,relations,a cat behind a curtain,120.6,49.37,0.0521,52.86,134.45,115.82,108.9,512,512
rel_051,relations,a laptop on a desk near a window,118.38,85.74,0.0537,93.51,116.8,119.34,117.66,512,512
rel_052,relations,a cat sleeping on a pillow on a bed,123.99,60.72,0.0499,49.33,132.75,121.46,114.03,512,512
rel_053,relations,flowers in a vase on a table by the window,125.94,58.25,0.0459,71.63,136.89,124.03,107.1,512,512
rel_054,relations,books stacked on a shelf above a fireplace,110.84,73.12,0.1009,112.1,134.48,101.8,95.41,512,512
rel_055,relations,a dog sitting next to a person on a bench,117.33,71.26,0.16,104.89,111.1,123.44,102.17,512,512
rel_056,relations,a bird flying over a lake near mountains,140.26,59.6,0.1747,77.0,125.61,145.11,153.68,512,512
rel_057,relations,a car parked in front of a house with a garden,126.47,69.58,0.1781,124.21,131.99,130.45,91.5,512,512
rel_058,relations,a child playing under a tree in a park,114.6,80.62,0.2258,94.14,114.82,119.89,86.75,512,512
rel_059,relations,a coffee cup on a saucer on a wooden table,115.53,47.71,0.0978,124.51,148.51,105.45,80.96,512,512
rel_060,relations,a painting hanging above a sofa in a living room,133.66,64.37,0.061,33.21,133.66,134.3,130.31,512,512
rel_061,relations,a bridge over a river,108.02,55.84,0.2324,106.84,108.63,113.78,76.74,512,512
rel_062,relations,a tunnel through a mountain,87.14,66.31,0.1192,107.25,95.0,85.95,72.61,512,512
rel_063,relations,a path along a beach,90.12,64.71,0.2508,114.12,92.7,92.99,68.53,512,512
rel_064,relations,a fence around a garden,112.98,55.23,0.2901,115.82,119.18,118.09,70.42,512,512
rel_065,relations,a frame around a picture,124.47,73.8,0.197,20.26,124.68,124.1,125.73,512,512
rel_066,relations,a border around a page,135.07,60.25,0.1662,47.12,142.22,134.5,119.22,512,512
rel_067,relations,a ring around a finger,132.33,41.61,0.0108,85.38,160.73,121.35,114.38,512,512
rel_068,relations,a scarf around a neck,133.99,76.0,0.1459,47.78,140.4,131.55,129.69,512,512
rel_069,relations,a belt around a waist,117.49,42.5,0.0226,36.95,123.89,114.93,113.78,512,512
rel_070,relations,a leash around a dog,104.3,63.72,0.1452,118.76,101.64,110.46,79.52,512,512
rel_071,relations,a person walking towards a door,87.48,67.3,0.1161,162.67,120.94,73.69,70.72,512,512
rel_072,relations,a car driving away from a city,114.93,66.9,0.1658,70.92,117.46,113.23,117.06,512,512
rel_073,relations,a bird flying into a tree,110.78,68.6,0.3083,108.38,106.07,115.19,100.39,512,512
rel_074,relations,a ball rolling down a hill,99.6,54.38,0.3138,146.47,124.41,95.23,57.04,512,512
rel_075,relations,a leaf falling from a branch,100.79,71.96,0.1147,159.8,119.13,99.93,57.14,512,512
rel_076,relations,smoke rising from a chimney,108.2,36.95,0.1718,60.96,115.97,106.28,97.7,512,512
rel_077,relations,water flowing over rocks,95.33,71.84,0.1561,105.91,102.83,93.77,83.71,512,512
rel_078,relations,light shining through a window,101.6,72.93,0.2138,42.17,100.16,103.6,95.13,512,512
rel_079,relations,shadows cast across a floor,110.56,32.55,0.0305,36.68,108.68,109.55,120.65,512,512
rel_080,relations,reflections in a puddle,134.15,48.98,0.17,121.08,115.12,140.69,150.44,512,512
rel_081,relations,a family gathered around a dinner table,94.84,71.57,0.1276,122.73,110.75,90.33,76.35,512,512
rel_082,relations,students sitting in rows in a classroom,114.74,68.45,0.1178,70.89,122.54,112.52,105.73,512,512
rel_083,relations,boats floating on a calm harbor,127.13,65.65,0.1584,89.55,118.03,132.29,124.38,512,512
rel_084,relations,mountains reflected in a still lake,101.56,59.02,0.2038,108.69,95.61,103.71,106.12,512,512
rel_085,relations,stars scattered across the night sky,91.0,51.17,0.0782,152.1,129.83,78.15,55.28,512,512
rel_086,relations,leaves covering a forest floor,79.73,53.6,0.3071,123.14,93.1,77.02,58.57,512,512
rel_087,relations,clouds drifting across a blue sky,124.13,32.54,0.0081,72.73,108.48,128.08,144.82,512,512
rel_088,relations,waves crashing against rocky shores,137.65,60.65,0.1241,60.72,124.04,141.62,152.86,512,512
rel_089,relations,birds perched along a telephone wire,130.24,75.19,0.1227,25.93,130.39,130.04,130.76,512,512
rel_090,relations,flowers blooming along a garden path,114.54,49.02,0.2981,171.03,129.73,113.7,79.06,512,512
cou_001,counting,one red apple on a plate,144.48,60.27,0.0607,79.24,156.49,141.66,127.59,512,512
